gvkey,tic,cusip,conm,cik
8539,EXC,30161N101,EXELON CORP,1109357
8542,WTRG,29670G102,ESSENTIAL UTILITIES INC,78128
8543,MO,02209S103,ALTRIA GROUP INC,764180
8549,COP,20825C104,CONOCOPHILLIPS,1163165
8551,PVH,693656100,PVH CORP,78239
8577,DUK1,26499M005,PIEDMONT NATURAL GAS CO,78460
8972,RTN,755111507,RAYTHEON CO,1047122
9016,RRX,758750103,REGAL REXNORD CORP,82811
9063,AN,05329W102,AUTONATION INC,350698
9155,RADCQ,767754872,RITE AID CORP,84129
9203,ROK,773903109,ROCKWELL AUTOMATION,1024478
9248,ROST,778296103,ROSS STORES INC,745732
9299,R,783549108,RYDER SYSTEM INC,85961
9555,SEE,81211K100,SEALED AIR CORP,1012100
9777,SJM,832696405,SMUCKER (JM) CO,91419
9846,EIX,281020107,EDISON INTERNATIONAL,827052
9850,SO,842587107,SOUTHERN CO,92122
9882,LUV,844741108,SOUTHWEST AIRLINES,92380
9890,SWX,844895102,SOUTHWEST GAS HOLDINGS INC,1692115
9899,T,00206R102,AT&T INC,732717
9904,SWN,845467109,SOUTHWESTERN ENERGY CO,7332
10096,PSA,74460D109,PUBLIC STORAGE,1393311
10411,TDS,879433829,TELEPHONE & DATA SYSTEMS INC,1051512
10443,TEN.2,880349105,TENNECO INC,1024725
10447,3015A,880591003,TENNESSEE VALLEY AUTHORITY,1376986
10499,TXN,882508104,TEXAS INSTRUMENTS INC,97476
10519,TXT,883203101,TEXTRON INC,217346
10671,TRP,87807B107,TC ENERGY CORP,1232384
10678,E1,893570002,TRANSCONTINENTAL GAS PIPE LN,99250
10793,TSN,902494103,TYSON FOODS INC  -CL A,100493
10795,UAL,910047109,UNITED AIRLINES HOLDINGS INC,100517
10801,UGI,902681105,UGI CORP,884614
10860,AEE,023608102,AMEREN CORP,1002910
10867,UNP,907818108,UNION PACIFIC CORP,100885
10920,UPS,911312106,UNITED PARCEL SERVICE INC,1090727
11032,UHS,913903100,UNIVERSAL HEALTH SVCS INC,352915
11220,VNO,929042109,VORNADO REALTY TRUST,899689
11228,VMC,929160109,VULCAN MATERIALS CO,1396009
11304,AVA,05379B107,AVISTA CORP,104918
11399,WDC,958102105,WESTERN DIGITAL CORP,106040
11456,WY,962166104,WEYERHAEUSER CO,106535
11465,WHR,963320106,WHIRLPOOL CORP,106640
11550,WEC,92939U106,WEC ENERGY GROUP INC,783325
11554,LNT,018802108,ALLIANT ENERGY CORP,352541
11555,WEC3,45899L003,INTEGRYS HOLDING INC,916863
11636,XRX,98421M106,XEROX HOLDINGS CORP,1770450
11670,SPB,84790A105,SPECTRUM BRND HLDG INC,109177
11672,TJX,872540109,TJX COS INC (THE),109198
11781,OVV,69047Q102,OVINTIV INC,1792580
12171,TECD,878237106,TECH DATA CORP,790703
12266,WERN,950755108,WERNER ENTERPRISES INC,793074
12294,MPLX,55336V100,MPLX LP,1552000
12312,BNI1,121899009,BNSF RAILWAY CO,15511
12384,SHEL,780259305,SHELL PLC,1306965
12389,HOG,412822108,HARLEY-DAVIDSON INC,793952
12428,POR,736508847,PORTLAND GENERAL ELECTRIC CO,784977
12485,ATUS,02156K103,ALTICE USA INC,1702780
12540,ADBE,00724F101,ADOBE INC,796343
12886,TFCFA,90130A309,TWENTY-FIRST CENTURY FOX INC,1308161
13145,ICAGY,459348108,INTL CONSOL AIRLINES GROUP,1505706
13312,BHP,088606108,BHP GROUP LTD,811809
13428,BRK2,08499W001,MIDAMERICAN FUNDING LLC,1098296
13498,CCL,143658300,CARNIVAL CORPORATION & PLC,815097
13700,XRAY,24906P109,DENTSPLY SIRONA INC,818479
13709,IEP,451100101,ICAHN ENTERPRISES LP,813762
14418,MGM,552953101,MGM RESORTS INTERNATIONAL,789570
14477,WM,94106L109,WASTE MANAGEMENT INC,823768
14538,TEVA,881624209,TEVA PHARMACEUTICALS,818686
14561,COHR,19247G107,COHERENT CORP,820318
14590,FCX,35671D857,FREEPORT-MCMORAN INC,831259
14934,DVN,25179M103,DEVON ENERGY CORP,1090012
14960,LH,504922105,LABCORP HOLDINGS INC,920148
15044,WDAY,98138H101,WORKDAY INC,1327811
15171,5685B,67799U933,OGLETHORPE POWER CORP,788816
15444,CRH,G25508105,CRH PLC,849395
15508,NGLOY,03485P300,ANGLO AMERICAN PLC,801973
16225,WES,958669103,WESTERN MIDSTRM PRTNRS LP,1423902
16477,LEA,521865204,LEAR CORP,842162
16478,EOG,26875P101,EOG RESOURCES INC,821189
16582,NTR,67077M108,NUTRIEN LTD,1725964
16721,EA,285512109,ELECTRONIC ARTS INC,712515
17874,TMUS,872590104,T-MOBILE US INC,1283699
18312,USFD,912008109,US FOODS HOLDING CORP,1665918
18465,AR,03674X106,ANTERO RESOURCES CORP,1433270
18468,PAGP,72651A207,PLAINS GP HOLDINGS LP,1581990
18872,TWTR,90184L102,TWITTER INC,1418091
19273,ENBL,292480100,ENABLE MIDSTREAM PARTNERS LP,1591763
19935,ENLC,29336T100,ENLINK MIDSTREAM LLC,1592000
20548,CTRA,127097103,COTERRA ENERGY INC,858470
20653,DEN,24790A101,DENBURY INC,945764
21227,LBRDK,530307305,LIBERTY BROADBAND CORP,1611983
21431,CRC,13057Q305,CALIFORNIA RESOURCES CORP,1609253
21808,CZR,12769G100,CAESARS ENTERTAINMENT INC,1590895
22260,HCA,40412C101,HCA HEALTHCARE INC,860730
23714,CYH,203668108,COMMUNITY HEALTH SYSTEMS INC,1108109
23812,REGN,75886F107,REGENERON PHARMACEUTICALS,872589
24344,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,875320
24468,BIIB,09062X103,BIOGEN INC,875045
24617,ODFL,679580100,OLD DOMINION FREIGHT,878927
24625,TTE,89151E109,TOTALENERGIES SE,879764
24731,KIM,49446R109,KIMCO REALTY CORP,879101
24925,ROP,776696106,ROPER TECHNOLOGIES INC,882835
25124,LIN,G54950103,LINDE PLC,1707925
25180,AGCO,001084102,AGCO CORP,880266
25283,KSS,500255104,KOHL'S CORP,885639
25389,GPK,388689101,GRAPHIC PACKAGING HOLDING CO,1408075
25434,SBUX,855244109,STARBUCKS CORP,829224
25645,ACI,013091103,ALBERTSONS COS INC,1646972
26590,FTV,34959J108,FORTIVE CORP,1659166
27054,LEXEA,53046P109,LIBERTY EXPEDIA HOLDINGS INC,1669600
27394,PK,700517105,PARK HOTELS & RESORTS,1617406
27786,CHK,165167735,CHESAPEAKE ENERGY CORP,895126
27914,HUM,444859102,HUMANA INC,49071
27928,INTU,461202103,INTUIT INC,896878
28180,ORLY,67103H107,O'REILLY AUTOMOTIVE INC,898173
28191,RCL,V7780T103,ROYAL CARIBBEAN GROUP,884887
28192,HWM,443201108,HOWMET AEROSPACE INC,4281
28195,JBL,466313103,JABIL INC,898293
28320,CDW,12514G108,CDW CORP,1402057
28499,YUMC,98850P109,YUM CHINA HOLDINGS INC,1673358
28930,MAR,571903202,MARRIOTT INTL INC,1048286
29028,COST,22160K105,COSTCO WHOLESALE CORP,909832
29241,VIAV,925550105,VIAVI SOLUTIONS INC,912093
29392,EMN,277432100,EASTMAN CHEMICAL CO,915389
29453,LNG,16411R208,CHENIERE ENERGY INC,3570
29733,MLM,573284106,MARTIN MARIETTA MATERIALS,916076
29751,ALB,012653101,ALBEMARLE CORP,915913
29830,WRK,96145D105,WESTROCK CO,1732845
29868,MAC,554382101,MACERICH CO,912242
30098,IR,45687V106,INGERSOLL RAND INC,1699150
30259,PENN,707569109,PENN ENTERTAINMENT INC,921738
30651,DAR,237266101,DARLING INGREDIENTS INC,916540
30861,KNX,499049104,KNIGHT-SWIFT TRPTN HLDGS INC,1492691
31673,COR,03073E105,CENCORA INC,1140859
31846,DRI,237194105,DARDEN RESTAURANTS INC,940944
32580,VICI,925652109,VICI PROPERTIES INC,1705696
34337,ETRN,294600101,EQUITRANS MID CORP,1747009
34410,MRNA,60770K107,MODERNA INC,1682852
34443,DOW,260557103,DOW INC,1751788
35168,CTVA,22052L104,CORTEVA INC,1755672
36190,OTIS,68902V107,OTIS WORLDWIDE CORP,1781335
36191,CARR,14448C104,CARRIER GLOBAL CORP,1783180
36790,BEPC,11284V105,BROOKFIELD RENEWABLE CORP,1791863
36973,PTVE,69526K105,PACTIV EVERGREEN INC,1527508
37382,CNXC,20602D101,CONCENTRIX CORP,1803599
38282,ULCC,35909R108,FRONTIER GRP HOLD INC,1670076
39041,DTM,23345M107,DT MIDSTREAM INC,1842022
39963,KD,50155Q100,KYNDRYL HOLDINGS INC,1867072
40614,CEG,21037T109,CONSTELLATION ENE CORP,1868275
41818,GEHC,36266G107,GE HEALTHCARE TECHNOLOGI INC,1932393
60800,SBGI,829242106,SINCLAIR INC,1971213
60902,HA,419879101,HAWAIIAN HOLDINGS INC,1172222
61483,DVA,23918K108,DAVITA INC,927066
61519,MATV,808541106,MATIV HOLDINGS INC,1000623
61811,SCCO,84265V105,SOUTHERN COPPER CORP,1001838
62374,IRM,46284V101,IRON MOUNTAIN INC,1020569
63605,8356B,13199K935,CALPINE CORP,916457
63892,NOV,62955J103,NOV INC,1021860
64088,VSAT,92552V100,VIASAT INC,797721
64306,KRC,49427F108,KILROY REALTY CORP,1025996
64410,KMX,143130102,CARMAX INC,1170010
64630,TTWO,874054109,TAKE-TWO INTERACTIVE SFTWR,946581
64821,ARE,015271109,ALEXANDRIA R E EQUITIES INC,1035443
65089,DTE1,250847001,DETROIT EDISON CO,28385
65090,SRE4,797440005,SAN DIEGO GAS & ELECTRIC CO,86521
65248,MT,03938L203,ARCELORMITTAL,1243429
65298,MEC1,595620006,MIDAMERICAN ENERGY CO,928576
65609,CHRW,12541W209,C H ROBINSON WORLDWIDE INC,1043277
66065,URI,911363109,UNITED RENTALS INC,1067701
66368,VRSN,92343E102,VERISIGN INC,1014473
66446,PWR,74762E102,QUANTA SERVICES INC,1050915
101475,AFLYY,009119108,AIR FRANCE KLM SA,1110452
104432,NCLH,G66721104,NORWEGIAN CRUISE LINE HLDGS,1513761
105365,AMT,03027X100,AMERICAN TOWER CORP,1053507
112168,RSG,760759100,REPUBLIC SERVICES INC,1060391
112876,EPD,293792107,ENTERPRISE PRODCT PARTNRS LP,1061219
115044,AQN,015857105,ALGONQUIN POWER & UTIL CORP,1174169
116029,PAA,726503105,PLAINS ALL AMER PIPELNE  -LP,1070423
116304,AEE1,90699X005,UNION ELECTRIC CO,100826
117768,NVDA,67066G104,NVIDIA CORP,1045810
119314,BKNG,09857L108,BOOKING HOLDINGS INC,1075531
120093,CNX,12653C108,CNX RESOURCES CORPORATION,1070412
126136,CHTR,16119P108,CHARTER COMMUNICATIONS INC,1091667
126296,EXPE,30212P303,EXPEDIA GROUP INC,1324424
126554,A,00846U101,AGILENT TECHNOLOGIES INC,1090872
126721,TDY,879360105,TELEDYNE TECHNOLOGIES INC,1094285
134464,9919B,12542R993,CHS INC,823277
134932,ON,682189105,ON SEMICONDUCTOR CORP,1097864
135484,FYBR,35909D109,FRONTIER COMMUNIC PARENT INC,20520
135990,NRG,629377508,NRG ENERGY INC,1013871
136648,VC,92839U206,VISTEON CORP,1111335
136725,ISRG,46120E602,INTUITIVE SURGICAL INC,1035267
138743,EQIX,29444U700,EQUINIX INC,1101239
139665,MCO,615369105,MOODY'S CORP,1059556
140045,ASR,40051E202,GRUPO AEROPORTUARIO SURESTE,1123452
141363,NS,67058H102,NUSTAR ENERGY LP,1110805
142230,MMP,559080106,MAGELLAN MIDSTREAM PRTNRS LP,1126975
142460,BTU,704551100,PEABODY ENERGY CORP,1064728
142953,MDLZ,609207105,MONDELEZ INTERNATIONAL INC,1103982
144559,ZBH,98956P102,ZIMMER BIOMET HOLDINGS INC,1136869
144998,XPO,983793100,XPO INC,1166003
145977,AAP,00751Y106,ADVANCE AUTO PARTS INC,1158449
146212,EP1,283695005,EL PASO NATURAL GAS CO,31986
147305,JBLU,477143101,JETBLUE AIRWAYS CORP,1158463
148349,TDG,893641100,TRANSDIGM GROUP INC,1260221
148998,Q1,74991X004,QWEST CORP,68622
149177,NXST,65336K103,NEXSTAR MEDIA GROUP,1142417
155280,ATSG,00922R105,AIR TRANSPORT SERVICES GROUP,894081
155969,CNP6,15189X009,CENTERPOINT ENRG HOUSTON ELE,48732
157373,VST,92840M102,VISTRA CORP,1692819
160991,DLR,253868103,DIGITAL REALTY TRUST INC,1297996
162254,CE,150870103,CELANESE CORP,1306830
162385,WEX,96208T104,WEX INC,1309108
162401,HUN,447011107,HUNTSMAN CORP,1307954
163036,BLDR,12008R107,BUILDERS FIRSTSOURCE,1316835
163669,ITC1,465685006,ITC HOLDINGS CORP,1317630
163946,CF,125269100,CF INDUSTRIES HOLDINGS INC,1324404
164534,ATCO,Y0436Q109,ATLAS CORP,1794846
164660,CCO,18453H106,CLEAR CHANNEL OUTDOOR HLDGS,1334978
165746,LYV,538034109,LIVE NATION ENTERTAINMENT,1335258
170527,POST,737446104,POST HOLDINGS INC,1530950
170617,META,30303M102,META PLATFORMS INC,1326801
170750,FANG,25278X109,DIAMONDBACK ENERGY INC,1539838
170841,PSX,718546104,PHILLIPS 66,1534701
174147,QRTEA,74915M100,QURATE RETAIL INC,1355096
174729,TNL,894164102,TRAVEL PLUS LEISURE CO,1361658
175007,ALGT,01748X102,ALLEGIANT TRAVEL CO,1362468
177637,AMC,00165C302,AMC ENTERTAINMENT HOLDINGS,1411579
177884,CXO,20605P101,CONCHO RESOURCES INC,1358071
178081,MELI,58733R102,MERCADOLIBRE INC,1099590
179437,AWK,030420103,AMERICAN WATER WORKS CO INC,1410636
179621,PM,718172109,PHILIP MORRIS INTERNATIONAL,1413329
180483,BERY,08579W103,BERRY GLOBAL GROUP INC,1378992
183366,H,448579102,HYATT HOTELS CORP,1468174
184700,CPAY,219948106,CORPAY INC,1175454
184996,TSLA,88160R101,TESLA INC,1318605
185532,TRGP,87612G101,TARGA RESOURCES CORP,1389170
186989,MPC,56585A102,MARATHON PETROLEUM CORP,1510295
187698,CIVI,17888H103,CIVITAS RESOURCES INC,1509589
196159,PBF,69318G106,PBF ENERGY INC,1534504
211819,NGG,636274409,NATIONAL GRID,1004315
220546,EQNR,29446M102,EQUINOR ASA,1140625
220942,ENGIY,29286D105,ENGIE SA,1243443
241637,BUD,03524A108,ANHEUSER-BUSCH INBEV,1668717
243011,MTCPY,553768409,MTR CORP LTD,1159204
260774,CBRE,12504L109,CBRE GROUP INC,1138118
264193,SNDR,80689H102,SCHNEIDER NATIONAL INC,1692063
